IP地址	端口	回源端口	TLS	数据中心	地区	城市	TCP延迟(ms)	速度(MB/s)
47.74.13.239	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	150	1.96
8.218.2.181	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	70	1.96
8.209.200.73	8880	8880	FALSE	NRT	Asia Pacific	Tokyo	79	1.95
8.219.215.12	2095	2095	FALSE	SIN	Asia Pacific	Singapore	12	1.95
8.209.243.172	8080	8080	FALSE	NRT	Asia Pacific	Tokyo	82	1.95
8.219.13.143	8880	8880	FALSE	SIN	Asia Pacific	Singapore	33	1.95
47.243.107.148	8880	8880	FALSE	HKG	Asia Pacific	Hong Kong	39	1.94
47.76.33.40	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	62	1.94
8.210.21.65	8880	8880	FALSE	HKG	Asia Pacific	Hong Kong	46	1.93
8.210.21.65	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	43	1.92
8.218.52.115	80	80	FALSE	HKG	Asia Pacific	Hong Kong	38	1.91
8.210.9.129	8880	8880	FALSE	HKG	Asia Pacific	Hong Kong	33	1.91
8.217.159.210	80	80	FALSE	HKG	Asia Pacific	Hong Kong	36	1.91
8.210.250.120	2095	2095	FALSE	HKG	Asia Pacific	Hong Kong	38	1.9
8.219.201.174	2086	2086	FALSE	SIN	Asia Pacific	Singapore	33	1.9
47.236.123.133	2052	2052	FALSE	SIN	Asia Pacific	Singapore	603	1.9
47.243.183.127	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	40	1.89
47.76.32.108	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	107	1.89
8.218.174.118	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	72	1.88
47.245.52.240	2087	2087	TRUE	NRT	Asia Pacific	Tokyo	193	1.88
47.89.191.155	443	443	TRUE	IAD	North America	Ashburn	248	1.87
47.74.11.219	2086	2086	FALSE	NRT	Asia Pacific	Tokyo	75	1.87
8.210.3.24	8880	8880	FALSE	HKG	Asia Pacific	Hong Kong	68	1.87
47.242.17.250	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	63	1.86
8.217.149.28	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	40	1.86
8.210.9.129	443	443	TRUE	HKG	Asia Pacific	Hong Kong	65	1.86
47.242.171.94	2095	2095	FALSE	HKG	Asia Pacific	Hong Kong	41	1.86
47.243.86.79	80	80	FALSE	HKG	Asia Pacific	Hong Kong	38	1.86
8.218.18.235	80	80	FALSE	HKG	Asia Pacific	Hong Kong	59	1.85
47.245.54.197	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	88	1.85
8.210.65.1	443	443	TRUE	HKG	Asia Pacific	Hong Kong	97	1.84
47.245.108.213	8443	8443	TRUE	SIN	Asia Pacific	Singapore	66	1.84
47.236.4.129	2086	2086	FALSE	SIN	Asia Pacific	Singapore	15	1.83
8.219.201.174	2095	2095	FALSE	SIN	Asia Pacific	Singapore	17	1.83
47.76.146.1	2086	2086	FALSE	HKG	Asia Pacific	Hong Kong	36	1.83
8.219.253.18	2095	2095	FALSE	SIN	Asia Pacific	Singapore	18	1.82
8.217.221.165	2095	2095	FALSE	HKG	Asia Pacific	Hong Kong	41	1.82
47.243.203.119	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	49	1.82
8.218.181.189	2086	2086	FALSE	HKG	Asia Pacific	Hong Kong	52	1.81
8.219.194.170	2095	2095	FALSE	SIN	Asia Pacific	Singapore	53	1.8
47.74.27.212	2095	2095	FALSE	NRT	Asia Pacific	Tokyo	72	1.79
47.236.130.95	80	80	FALSE	SIN	Asia Pacific	Singapore	435	1.78
47.76.94.15	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	52	1.78
8.217.149.28	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	55	1.78
